a,r,b
{sys_id:3567},"{type:позиция,номер:4,sys_id:3783}",{sys_id:442}
{sys_id:2992},"{type:позиция,номер:3,sys_id:419}",{sys_id:442}
{sys_id:2990},"{type:позиция,номер:3,sys_id:284}",{sys_id:442}
{sys_id:3019},"{type:позиция,номер:4,sys_id:324}",{sys_id:442}
{sys_id:3002},"{type:позиция,номер:5,sys_id:307}",{sys_id:442}
{sys_id:2674},"{type:позиция,номер:6,sys_id:3462}",{sys_id:442}
{sys_id:2719},"{type:позиция,номер:6,sys_id:1152}",{sys_id:442}
{sys_id:2519},"{type:позиция,номер:7,sys_id:2645}",{sys_id:442}
{sys_id:2896},"{type:позиция,номер:6,sys_id:2116}",{sys_id:442}
{sys_id:2989},"{type:позиция,номер:6,sys_id:274}",{sys_id:442}
{sys_id:2686},"{type:реферер,sys_id:3240}",{sys_id:442}
{sys_id:2626},"{type:реферер,sys_id:3739}",{sys_id:442}
{sys_id:2854},"{type:реферер,sys_id:1978}",{sys_id:442}
{sys_id:2999},"{type:реферер,sys_id:268}",{sys_id:442}
{sys_id:2462},"{type:кому,номер:7,sys_id:3344}",{sys_id:442}
{sys_id:1326},"{type:реферал,номер:7,sys_id:3436}",{sys_id:442}
{sys_id:3428},"{type:with_member,sys_id:2509}",{sys_id:442}
{sys_id:2488},"{type:with_member,номер:7,sys_id:2510}",{sys_id:442}
{sys_id:3365},"{type:with_member,sys_id:2511}",{sys_id:442}
{sys_id:2520},"{type:with_member,sys_id:2522}",{sys_id:442}
{sys_id:2497},"{type:with_member,sys_id:3437}",{sys_id:442}
{sys_id:3440},"{type:with_member,sys_id:3439}",{sys_id:442}
{sys_id:3429},"{type:with_member,sys_id:2543}",{sys_id:442}
{sys_id:3477},"{type:with_member,sys_id:2674}",{sys_id:442}
{sys_id:501},"{type:with_member,sys_id:3015}",{sys_id:442}
{sys_id:3517},"{type:with_member,sys_id:3076}",{sys_id:442}
