a,r,b
{sys_id:3567},"{type:позиция,номер:4,sys_id:3783}",{sys_id:442}
{sys_id:2992},"{type:позиция,номер:3,sys_id:419}",{sys_id:442}
{sys_id:2990},"{type:позиция,номер:3,sys_id:284}",{sys_id:442}
{sys_id:3019},"{type:позиция,номер:4,sys_id:324}",{sys_id:442}
{sys_id:3002},"{type:позиция,номер:5,sys_id:307}",{sys_id:442}
{sys_id:2674},"{type:позиция,номер:6,sys_id:3462}",{sys_id:442}
{sys_id:2719},"{type:позиция,номер:6,sys_id:1152}",{sys_id:442}
{sys_id:2519},"{type:позиция,номер:7,sys_id:2645}",{sys_id:442}
{sys_id:2896},"{type:позиция,номер:6,sys_id:2116}",{sys_id:442}
{sys_id:2989},"{type:позиция,номер:6,sys_id:274}",{sys_id:442}
{sys_id:2686},"{type:реферер,sys_id:3240}",{sys_id:442}
{sys_id:2626},"{type:реферер,sys_id:3739}",{sys_id:442}
{sys_id:2854},"{type:реферер,sys_id:1978}",{sys_id:442}
{sys_id:2999},"{type:реферер,sys_id:268}",{sys_id:442}
{sys_id:2462},"{type:кому,номер:7,sys_id:3344}",{sys_id:442}
{sys_id:1326},"{type:реферал,номер:7,sys_id:3436}",{sys_id:442}
{sys_id:3205},"{type:принадлежит,sys_id:2663}",{sys_id:442}
{sys_id:1400},"{type:список,sys_id:2744}",{sys_id:444}
{sys_id:2639},"{type:имеет,sys_id:3176}",{sys_id:445}
{sys_id:2639},"{type:список,sys_id:3185}",{sys_id:446}
{sys_id:442},"{type:имеет,sys_id:2684}",{sys_id:465}
{sys_id:3399},"{type:список,sys_id:1964}",{sys_id:499}
{sys_id:1289},"{type:список,sys_id:2337}",{sys_id:1208}
{sys_id:1255},"{type:распределение,sys_id:2352}",{sys_id:1247}
{sys_id:1255},"{type:распределение,sys_id:2353}",{sys_id:1248}
{sys_id:1255},"{type:распределение,sys_id:2354}",{sys_id:1249}
{sys_id:1255},"{type:распределение,sys_id:2355}",{sys_id:1250}
